1,"20th Century Studios"
2,"Artisan Entertainment"
3,"Columbia Pictures"
4,"Dimension Films"
5,"DreamWorks"
6,"DreamWorks Distribution"
7,"FilmDistrict"
8,"Focus Features"
9,"Fox Searchlight Pictures"
10,"IFC Films"
11,"Lionsgate"
12,"Metro-Goldwyn-Mayer (MGM)"
13,"Miramax"
14,"New Line Cinema"
15,"Newmarket Films"
16,"Orion Pictures"
17,"Paramount Pictures"
18,"Relativity Media"
19,"Revolution Studios"
20,"Roadside Attractions"
21,"Screen Gems"
22,"Sony Pictures Classics"
23,"Sony Pictures Entertainment (SPE)"
24,"STX Entertainment"
25,"Summit Entertainment"
26,"The Weinstein Company"
27,"TriStar Pictures"
28,"Twentieth Century Fox"
29,"United Artists"
30,"United Artists Releasing"
31,"Universal Pictures"
32,"USA Films"
33,"Walt Disney Studios Motion Pictures"
34,"Warner Bros"
